mass_window,threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01
125+/-0.25,0.99593425,0.6904039999999997,0.0,0.00753333601901462,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9959252,0.6940959999999997,0.0,0.007573621238367639,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99592197,0.6977879999999997,0.0,0.007613906457720659,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99592066,0.7014799999999998,0.0,0.007654191677073679,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99590343,0.7051719999999998,0.0,0.007694476896426698,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958901,0.7088639999999998,0.0,0.007734762115779718,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99588543,0.7125559999999999,0.0,0.007775047335132738,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99588037,0.7162479999999999,0.0,0.007815332554485757,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99587953,0.7199399999999999,0.0,0.007855617773838777,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99587727,0.7236319999999999,0.0,0.007895902993191798,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958769,0.727324,0.0,0.007936188212544817,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99586725,0.731016,0.0,0.007976473431897836,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958664,0.734708,0.0,0.008016758651250856,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958627,0.7384000000000001,0.0,0.008057043870603875,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958593,0.7420920000000001,0.0,0.008097329089956895,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99585587,0.7457840000000001,0.0,0.008137614309309914,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958532,0.7494760000000001,0.0,0.008177899528662935,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958405,0.7531680000000002,0.0,0.008218184748015955,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99583995,0.7568600000000002,0.0,0.008258469967368974,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99583733,0.7605520000000002,0.0,0.008298755186721993,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958354,0.7642440000000003,0.0,0.008339040406075013,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9958334,0.7679360000000003,0.0,0.008379325625428032,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.995815,0.7716280000000003,0.0,0.008419610844781053,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957926,0.7753200000000003,0.0,0.008459896064134073,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957885,0.7790120000000004,0.0,0.008500181283487092,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.995786,0.7827040000000004,0.0,0.008540466502840112,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99578446,0.7863960000000004,0.0,0.008580751722193131,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957806,0.7900880000000005,0.0,0.00862103694154615,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.995773,0.7937800000000005,0.0,0.008661322160899172,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957718,0.7974720000000005,0.0,0.008701607380252191,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957598,0.8011640000000005,0.0,0.00874189259960521,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99575716,0.8048560000000006,0.0,0.00878217781895823,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957528,0.8085480000000006,0.0,0.00882246303831125,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99575186,0.8122400000000006,0.0,0.008862748257664269,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957432,0.8159320000000007,0.0,0.00890303347701729,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99574226,0.8196240000000007,0.0,0.008943318696370309,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957378,0.8233160000000007,0.0,0.008983603915723328,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99573356,0.8270080000000007,0.0,0.009023889135076348,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957279,0.8307000000000008,0.0,0.009064174354429367,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957247,0.8343920000000008,0.0,0.009104459573782387,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957196,0.8380840000000008,0.0,0.009144744793135408,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99571323,0.8417760000000009,0.0,0.009185030012488427,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99571276,0.8454680000000009,0.0,0.009225315231841447,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99570954,0.8491600000000009,0.0,0.009265600451194466,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9957086,0.8528520000000009,0.0,0.009305885670547485,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.995697,0.856544000000001,0.0,0.009346170889900505,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9956897,0.860236000000001,0.0,0.009386456109253526,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9956878,0.863928000000001,0.0,0.009426741328606545,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9956808,0.8676200000000011,0.0,0.009467026547959565,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99567974,0.8713120000000011,0.0,0.009507311767312584,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9956742,0.8750040000000011,0.0,0.009547596986665604,0.0,0.0,,0.0,0.0,0.0
